Country/Territory,Status,PR Rating,CL Rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Togo,PF,4,4,2,2,2,6,2,1,2,2,7,2,1,2,5,0,18,2,3,2,2,9,1,2,3,6,2,2,2,1,7,2,2,1,2,7,29,47
Tonga,F,2,2,3,3,3,9,4,4,3,3,14,3,2,2,7,0,30,2,4,3,3,12,3,3,3,9,3,3,3,3,12,4,3,3,2,12,45,75
Transnistria,NF,6,6,1,1,1,3,1,2,1,1,5,1,0,1,2,0,10,0,2,1,2,5,1,1,0,2,0,0,1,1,2,2,1,1,1,5,14,24
Trinidad and Tobago,F,2,2,4,4,3,11,3,4,3,3,13,4,2,3,9,0,33,4,3,4,4,15,4,4,3,11,3,2,2,2,9,4,3,3,3,13,48,81
Tunisia,F,2,3,4,4,2,10,4,4,3,3,14,3,1,2,6,0,30,2,3,3,4,12,3,3,3,9,2,2,3,2,9,3,2,3,2,10,40,70
Turkey,NF,5,6,2,3,1,6,2,1,3,1,7,2,1,0,3,0,16,1,2,1,1,5,1,1,1,3,1,0,0,1,2,1,1,2,2,6,16,32
Turkmenistan,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,3,4,4
Tuvalu,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,37,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,3,3,14,57,94
Uganda,PF,6,4,1,1,1,3,1,1,1,2,5,1,1,1,3,0,11,2,3,3,3,11,1,1,2,4,1,1,1,1,4,2,2,1,2,7,26,37
Ukraine,PF,3,3,4,3,2,9,3,3,2,3,11,3,1,2,6,0,26,2,3,3,3,11,3,3,3,9,1,2,1,2,6,3,2,3,2,10,36,62
United Arab Emirates,NF,7,6,0,1,0,1,0,0,1,1,2,0,2,0,2,0,5,0,1,1,1,3,1,0,1,2,0,1,1,1,3,1,1,1,1,4,12,17
United Kingdom,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,40,4,4,3,3,14,4,4,4,12,4,4,3,3,14,4,4,3,3,14,54,94
United States,F,2,1,3,4,3,10,4,4,3,3,14,3,3,3,9,0,33,4,4,4,4,16,3,4,3,10,3,3,3,3,12,4,4,4,3,15,53,86
